t [s]	η [m]
74.75	-2.576756
74.875	-2.4190872
75.0	-2.222338
75.125	-1.9924593
75.25	-1.7367465
75.375	-1.4634901
75.5	-1.1816176
75.625	-0.9001204
75.75	-0.6273733
75.875	-0.37048927
76.0	-0.13473311
76.125	0.07690107
76.25	0.26389852
76.375	0.42813843
76.5	0.5735645
76.625	0.70562077
76.75	0.8305215
76.875	0.9544389
77.0	1.0827466
77.125	1.2193795
77.25	1.3663888
77.375	1.523767
77.5	1.6895862
77.625	1.8602864
77.75	2.0312154
77.875	2.1972725
78.0	2.3534467
78.125	2.495355
78.25	2.6195662
78.375	2.7237566
78.5	2.8065155
78.625	2.8671558
78.75	2.905248
78.875	2.9201965
79.0	2.9108887
79.125	2.8754132
79.25	2.8110437
79.375	2.7144341
79.5	2.5819724
79.625	2.4103315
79.75	2.1971102
79.875	1.9413506
80.0	1.6440613
80.125	1.3084084
80.25	0.9397442
80.375	0.545358
80.5	0.1339344
80.625	-0.2850789
80.75	-0.7022119
80.875	-1.1086575
81.0	-1.4968301
81.125	-1.8607075
81.25	-2.1959052
81.375	-2.4995291
81.5	-2.7697716
81.625	-3.0054324
81.75	-3.2054074
81.875	-3.3682632
82.0	-3.4919856
82.125	-3.5739717
82.25	-3.6112864
82.375	-3.6011508
82.5	-3.541609
82.625	-3.432209
82.75	-3.274545
82.875	-3.072703
83.0	-2.8333673
83.125	-2.5655274
83.25	-2.2798727
83.375	-1.9878898
83.5	-1.7008007
83.625	-1.4284657
83.75	-1.1783987
83.875	-0.95508033
84.0	-0.7596952
84.125	-0.59025645
84.25	-0.4422533
84.375	-0.30960146
84.5	-0.18584856
84.625	-0.06540992
84.75	0.055334542
84.875	0.17727333
85.0	0.29825452
85.125	0.41330433
85.25	0.5153527
85.375	0.5963788
85.5	0.64880246
85.625	0.66695666
85.75	0.6483355
85.875	0.59448856
86.0	0.5113649
86.125	0.40902472
86.25	0.30076233
86.375	0.20167427
86.5	0.1269325
86.625	0.08991829
86.75	0.100548156
86.875	0.16397913
87.0	0.27987558
87.125	0.44243175
87.25	0.6410391
87.375	0.86161864
87.5	1.0883564
87.625	1.3056759
87.75	1.5001152
87.875	1.6618505
88.0	1.7857165
88.125	1.8715106
88.25	1.9235387
88.375	1.9495982
88.5	1.9593796
88.625	1.9626504
88.75	1.9674869
88.875	1.9787387
89.0	1.997032
89.125	2.0184648
89.25	2.0349696
89.375	2.035419
89.5	2.0071862
89.625	1.9380671
89.75	1.8182013
89.875	1.6417109
90.0	1.4079597
90.125	1.1220393
90.25	0.7946025
90.375	0.4409406
90.5	0.07945987
90.625	-0.2702066
90.75	-0.58927083
90.875	-0.8617234
91.0	-1.0759201
91.125	-1.2256013
91.25	-1.3102818
91.375	-1.334925
91.5	-1.3090153
91.625	-1.245185
91.75	-1.15756
91.875	-1.0600609
92.0	-0.9648763
92.125	-0.8812947
92.25	-0.8149984
92.375	-0.7678665
92.5	-0.73828053
92.625	-0.7218101
92.75	-0.7122028
92.875	-0.7024587
93.0	-0.6858716
93.125	-0.65690035
93.25	-0.6117804
93.375	-0.5488121
93.5	-0.46836987
93.625	-0.37263373
93.75	-0.2651605
93.875	-0.15036426
94.0	-0.032990217
94.125	0.08233018
94.25	0.19142285
94.375	0.2907752
94.5	0.37763265
94.625	0.45000723
94.75	0.50662416
94.875	0.5468825
95.0	0.5708152
95.125	0.5790668
95.25	0.5728988
95.375	0.55415255
95.5	0.5251868
95.625	0.4887232
95.75	0.4476021
95.875	0.40444472
96.0	0.36123288
96.125	0.3189167
96.25	0.27705663
96.375	0.23359665
96.5	0.18486765
96.625	0.1258143
96.75	0.050507583
96.875	-0.04713487
97.0	-0.17245094
97.125	-0.32909477
97.25	-0.518167
97.375	-0.7375594
97.5	-0.98165697
97.625	-1.241411
97.75	-1.5048592
97.875	-1.758113
98.0	-1.9865912
98.125	-2.1764967
98.25	-2.316249
98.375	-2.397761
98.5	-2.4173756
98.625	-2.3762515
98.75	-2.2802866
98.875	-2.1393907
99.0	-1.9663513
99.125	-1.7753388
99.25	-1.5802228
99.375	-1.393031
99.5	-1.2225779
99.625	-1.0736247
99.75	-0.94649744
99.875	-0.83734286
100.0	-0.7389069
100.125	-0.64172995
100.25	-0.53559375
100.375	-0.41104046
100.5	-0.2607266
100.625	-0.08045581
100.75	0.1302452
100.875	0.36804706
101.0	0.6262599
101.125	0.8956617
101.25	1.1656224
101.375	1.425318
101.5	1.6649034
101.625	1.8764166
101.75	2.0543826
101.875	2.1959844
102.0	2.3009233
102.125	2.370849
102.25	2.4087086
102.375	2.4179556
102.5	2.4018397
102.625	2.3629823
102.75	2.303101
102.875	2.223132
103.0	2.1236265
103.125	2.0052164
103.25	1.8693213
103.375	1.7186549
103.5	1.557551
103.625	1.3920891
103.75	1.2297308
103.875	1.0787711
104.0	0.9474038
104.125	0.8427187
104.25	0.7696344
104.375	0.7300426
104.5	0.7222388
104.625	0.7407565
104.75	0.776685
104.875	0.8184689
105.0	0.85305583
105.125	0.86731607
105.25	0.8495408
105.375	0.7908261
105.5	0.6861748
105.625	0.53515536
105.75	0.34206632
105.875	0.11553046
106.0	-0.132387
106.125	-0.38744134
106.25	-0.6347119
106.375	-0.86012286
106.5	-1.0518402
106.625	-1.2013582
106.75	-1.3041468
106.875	-1.3598459
107.0	-1.3719658
107.125	-1.3471596
107.25	-1.2942684
107.375	-1.2231175
107.5	-1.1434083
107.625	-1.0636863
107.75	-0.9906657
107.875	-0.9287603
108.0	-0.88007975
108.125	-0.84468347
108.25	-0.82107073
108.375	-0.8068391
108.5	-0.7993704
108.625	-0.7963843
108.75	-0.79639864
108.875	-0.79891396
109.0	-0.80439025
109.125	-0.81402135
109.25	-0.8293647
109.375	-0.8518862
109.5	-0.8825682
109.625	-0.9215617
109.75	-0.96803015
109.875	-1.0201744
110.0	-1.0754116
110.125	-1.1307472
110.25	-1.1831663
110.375	-1.2301025
110.5	-1.2697554
110.625	-1.3013418
110.75	-1.3251246
110.875	-1.3422374
111.0	-1.3543738
111.125	-1.3632525
111.25	-1.3701322
111.375	-1.3752449
111.5	-1.3773905
111.625	-1.3737133
111.75	-1.359688
111.875	-1.329362
112.0	-1.275875
112.125	-1.1921341
112.25	-1.0716233
112.375	-0.9092606
112.5	-0.70216614
112.625	-0.45027363
112.75	-0.15669769
112.875	0.17217566
113.0	0.52692
113.125	0.8955897
113.25	1.2644744
113.375	1.6190348
113.5	1.9448997
113.625	2.228887
113.75	2.4598615
113.875	2.6294558
114.0	2.7325468
114.125	2.767462
114.25	2.735911
114.375	2.6427271
114.5	2.4953692
114.625	2.3032763
114.75	2.0772586
114.875	1.8287274
115.0	1.5691124
115.125	1.3092531
115.25	1.0590184
115.375	0.8269181
115.5	0.6199358
115.625	0.44340923
115.75	0.30103037
115.875	0.19485429
116.0	0.12541819
116.125	0.09181984
116.25	0.09185231
116.375	0.12213819
116.5	0.17828295
116.625	0.2550548
116.75	0.34656996
116.875	0.4465274
117.0	0.5484583
117.125	0.64599806
117.25	0.7331567
117.375	0.80459887
117.5	0.85587907
117.625	0.88363457
117.75	0.8857085
117.875	0.861227
118.0	0.8105636
118.125	0.7352504
118.25	0.63781977
118.375	0.5215942
118.5	0.39044976
118.625	0.24856439
118.75	0.100173354
118.875	-0.05063797
119.0	-0.20012225
